Index,Time,mtr.state.i_dq.v1,mtr.state.i_dq.v2,mtr.state.pos_spd_e.v1,mtr.state.pos_spd_e.v2
11432,11.431984,0.0502774194,0.00160173606,4.48408985,-0.0163069852
11433,11.432985,0.0507356599,0.000641697552,4.48408985,-0.00195753132
11434,11.433982,0.0521103814,-0.00223841588,4.48408985,-0.000234986961
11435,11.434982,0.0534590259,0.00135222171,4.48408985,-2.82084238e-05
11436,11.435985,0.0492168814,0.00168490387,4.48408985,-3.38620976e-06
11437,11.436985,0.0382451601,0.01825504,4.48408985,-4.06489107e-07
11438,11.437999,0.0489291362,-0.00197994988,4.47360325,-9.42686272
11439,11.438999,0.0497022718,-0.00573659688,4.473382,-1.13162422
11440,11.439983,0.0458911955,0.00010608905,4.47337627,-0.135843009
11441,11.440982,0.0458911955,0.00010608905,4.47337627,-0.0163069349
11442,11.441986,0.0420528241,0.0124195144,4.47337627,-0.00195752527
11443,11.442984,0.0482997224,0.00361401075,4.47337627,-0.000234986233
11444,11.443983,0.0536570661,-0.00974234007,4.47337627,-2.82083347e-05
11445,11.444982,0.0493875667,-0.002939709,4.47337627,-3.38619907e-06
11446,11.445986,0.0527129285,-0.00135169202,4.47337627,-4.064878e-07
11447,11.446985,0.0495312773,-0.00110277673,4.47337627,-4.87958118e-08
11448,11.447981,0.0427095369,0.000355005497,4.47337627,-5.85757132e-09
11449,11.448985,0.0495314747,-0.00109371054,4.46288967,-9.42833138
11450,11.449997,0.0540604815,0.00224930234,4.46266651,-1.13180053
11451,11.450985,0.0507354178,0.000660671387,4.4626627,-0.135864168
11452,11.451984,0.0496748462,0.000743444543,4.4626627,-0.0163094755
11453,11.452982,0.0518244803,-0.00589284208,4.4626627,-0.00195783027
11454,11.453982,0.0502768159,0.00162053853,4.4626627,-0.000235022846
11455,11.454984,0.0517959781,0.000577894971,4.4626627,-2.82127312e-05
11456,11.455984,0.0527131818,-0.00134183536,4.4626627,-3.3867268e-06
11457,11.456982,0.0454325713,0.0010745374,4.4626627,-4.06551152e-07
11458,11.457982,0.0490728803,-0.000133649213,4.4626627,-4.88034182e-08
11459,11.458985,0.0531717837,-0.00230170228,4.4626627,-5.85848436e-09
11460,11.459984,0.046034541,0.00195162767,4.4626627,-7.03267111e-10
11461,11.460984,0.0509072803,-0.00397311151,4.4626627,-8.44219417e-11
11462,11.461996,0.0514807515,0.00337472325,4.4626627,-1.01342216e-11
11463,11.462984,0.0569839515,-0.00814366899,4.4626627,-1.21653729e-12
11464,11.463983,0.0436266698,-0.00155674049,4.4626627,-1.46036178e-13
11465,11.464985,0.0455759391,0.00291149667,4.4626627,-1.75305479e-14
11466,11.465985,0.0513373874,0.00153776538,4.4626627,-2.10441079e-15
11467,11.466984,0.0521112159,-0.00221892726,4.4626627,-2.52618736e-16
11468,11.467982,0.049818214,0.00258040382,4.4626627,-3.03249839e-17
11469,11.468986,0.0496748462,0.000743444543,4.4626627,-3.64028705e-18
11470,11.469982,0.0486142784,0.000826217933,4.4626627,-4.36989178e-19
11471,11.470984,0.0487576462,0.00266317534,4.4626627,-5.24572741e-20
11472,11.471991,0.0492162481,0.00170330983,4.4626627,-6.29710265e-21
11473,11.472982,0.0538022481,-0.00789534952,4.4626627,-7.55919942e-22
11474,11.473998,0.0501334481,-0.000216420507,4.4626627,-9.07425248e-23
11475,11.474986,0.0448306054,0.000197445508,4.4626627,-1.08929598e-23
11476,11.475985,0.0501334481,-0.000216420507,4.4626627,-1.3076182e-24
11477,11.476984,0.0478404462,0.00458290707,4.4626627,-1.56969762e-25
11478,11.477983,0.0540319867,0.0087200487,4.4626627,-1.88430428e-26
11479,11.478985,0.0480123125,-5.08739613e-05,4.4626627,-2.26196601e-27
11480,11.479985,0.0514807515,0.00337472325,4.4626627,-2.71532072e-28
11481,11.480982,0.0445723645,-0.00994721334,4.4626627,-3.25953893e-29
11482,11.481986,0.0486142784,0.000826217933,4.4626627,-3.91283212e-30
11483,11.482986,0.0504201837,0.00345749781,4.4626627,-4.69706149e-31
11484,11.483984,0.0533423796,-0.00694524404,4.4731493,9.42833138
11485,11.484982,0.0489291437,-0.00197975105,4.47337055,1.13180053
11486,11.485998,0.0557508804,-0.00343753723,4.47337627,0.135864168
11487,11.486984,0.0505918264,-0.00118574779,4.47337627,0.0163094755
11488,11.487986,0.0501334071,-0.0002257952,4.47337627,0.00195783027
11489,11.488986,0.05119396,-0.000308766728,4.47337627,0.000235022846
11490,11.489984,0.0519670881,-0.00406560255,4.47337627,2.82127312e-05
11491,11.491106,0.0534587726,0.00136221899,4.47337627,3.3867268e-06
11492,11.491985,0.0505918264,-0.00118574779,4.47337627,4.06551152e-07
11493,11.492986,0.0503044017,-0.00485961046,4.47337627,4.88034182e-08
11494,11.493984,0.0514813811,0.00336509803,4.47337627,5.85848436e-09
11495,11.494995,0.0501334071,-0.0002257952,4.47337627,7.03267111e-10
11496,11.496035,0.0486144349,0.00081712706,4.47337627,8.44219417e-11
